advisor_id,first_name,last_name,email,phone,assigned_student_id
1,Ronald,Rodgers,daniellemorse@example.net,001-702-474-5914x947,N/A
2,David,Wilson,whitepaul@example.net,001-500-982-5598,N/A
3,Angela,Larson,jessica60@example.org,(670)221-5408x387,N/A
4,Justin,Torres,umcmahon@example.net,+1-626-771-4217x029,N/A
5,Roger,Hopkins,stevensmith@example.com,633-789-8536x70517,N/A
6,Barbara,Edwards,warnersara@example.net,(831)861-5671x867,N/A
7,Cindy,Walters,loribennett@example.com,001-290-763-5090x7661,N/A
8,Stephanie,Gregory,durancarmen@example.org,691.448.1128x77145,N/A
9,Alexis,Gillespie,ronaldflores@example.com,(991)281-3406x03701,N/A
10,Mark,Wright,vcummings@example.org,(413)746-6492x6474,N/A
